Driver	Target	wilcox.p	Histotype	PMID
NOTCH2_4853_ENSG00000134250	YES1_ENSG00000176105	0.000574554	PANCAN	
KRAS_3845_ENSG00000133703	CDK6_ENSG00000105810	0.000386936	PANCAN	
KRAS_3845_ENSG00000133703	ADCK4_ENSG00000123815	0.000555405	PANCAN	
CDKN2A_1029_ENSG00000147889	STK3_ENSG00000104375	0.000623154	PANCAN	
SMARCA4_6597_ENSG00000127616	DAPK1_ENSG00000196730	0.00105775	PANCAN	
ARID1A_8289_ENSG00000117713	TWF2_ENSG00000247596	0.001010607	PANCAN	
KRAS_3845_ENSG00000133703	PEAK1_ENSG00000173517	0.000842914	PANCAN	
ARID1A_8289_ENSG00000117713	PIP4K2B_ENSG00000141720	0.001057754	PANCAN	
CDKN2A_1029_ENSG00000147889	TRIB3_ENSG00000101255	0.000913528	PANCAN	
NOTCH2_4853_ENSG00000134250	RELA_ENSG00000173039	0.001326653	PANCAN	
MAP2K4_6416_ENSG00000065559	DGKA_ENSG00000065357	0.001088218	PANCAN	
STK11_6794_ENSG00000118046	NAGK_ENSG00000124357	0.001248721	PANCAN	
NOTCH2_4853_ENSG00000134250	GALK2_ENSG00000156958	0.001633263	PANCAN	
TP53_7157_ENSG00000141510	PSKH2_ENSG00000147613	0.005675481	PANCAN	
NOTCH2_4853_ENSG00000134250	TGFBR2_ENSG00000163513	0.001782315	PANCAN	
KRAS_3845_ENSG00000133703	ALDH18A1_ENSG00000059573	0.001721778	PANCAN	
TP53_7157_ENSG00000141510	CAMK1D_ENSG00000183049	0.007016024	PANCAN	
ARID1A_8289_ENSG00000117713	UCK2_ENSG00000143179	0.002146478	PANCAN	
ARID1A_8289_ENSG00000117713	STK19_ENSG00000206342	0.002239033	PANCAN	
NRAS_4893_ENSG00000213281	MAP3K3_ENSG00000198909	0.001897571	PANCAN	
PTEN_5728_ENSG00000171862	CDKN1C_ENSG00000129757	0.002372985	PANCAN	
PTEN_5728_ENSG00000171862	MYLK_ENSG00000065534	0.00248564	PANCAN	
CDKN2A_1029_ENSG00000147889	EFNB3_ENSG00000108947	0.002725005	PANCAN	
CDKN2A_1029_ENSG00000147889	DYRK4_ENSG00000010219	0.002806076	PANCAN	
CCND1_595_ENSG00000110092	PRKCZ_ENSG00000067606	0.003062193	PANCAN	
KRAS_3845_ENSG00000133703	EFNB3_ENSG00000108947	0.003000155	PANCAN	
STK11_6794_ENSG00000118046	STK39_ENSG00000198648	0.00305859	PANCAN	
CDKN2A_1029_ENSG00000147889	CDADC1_ENSG00000102543	0.00315647	PANCAN	
CDKN2A_1029_ENSG00000147889	PFKP_ENSG00000067057	0.003250284	PANCAN	
TP53_7157_ENSG00000141510	NRBP1_ENSG00000115216	0.012005337	PANCAN	
KRAS_3845_ENSG00000133703	PTK2_ENSG00000169398	0.003643243	PANCAN	
ERBB2_2064_ENSG00000141736	ADCK5_ENSG00000261694	0.004251453	PANCAN	
TP53_7157_ENSG00000141510	COL4A3BP_ENSG00000113163	0.01337175	PANCAN	
PTEN_5728_ENSG00000171862	TRPM7_ENSG00000092439	0.004337203	PANCAN	
STK11_6794_ENSG00000118046	TAF1_ENSG00000147133	0.004892749	PANCAN	
ARID1A_8289_ENSG00000117713	MPP3_ENSG00000161647	0.005712623	PANCAN	
PTEN_5728_ENSG00000171862	AURKB_ENSG00000178999	0.00552732	PANCAN	
ARID1A_8289_ENSG00000117713	ACVR2A_ENSG00000121989	0.005936724	PANCAN	
KRAS_3845_ENSG00000133703	TAOK1_ENSG00000160551	0.005169755	PANCAN	
STK11_6794_ENSG00000118046	BUB1_ENSG00000169679	0.005264384	PANCAN	
SMAD4_4089_ENSG00000141646	TTK_ENSG00000112742	0.005745343	PANCAN	
KRAS_3845_ENSG00000133703	CDKL1_ENSG00000100490	0.005711376	PANCAN	
ERBB2_2064_ENSG00000141736	SGK2_ENSG00000101049	0.005977881	PANCAN	
CCND1_595_ENSG00000110092	NEK9_ENSG00000119638	0.006083151	PANCAN	
KRAS_3845_ENSG00000133703	HIPK2_ENSG00000064393	0.005974856	PANCAN	
NOTCH2_4853_ENSG00000134250	PI4KA_ENSG00000241973	0.007901751	PANCAN	
MAP2K4_6416_ENSG00000065559	SGK2_ENSG00000101049	0.006456798	PANCAN	
MYC_4609_ENSG00000136997	PKIB_ENSG00000135549	0.007046819	PANCAN	
SMARCA4_6597_ENSG00000127616	IRAK3_ENSG00000090376	0.008086322	PANCAN	
SMARCA4_6597_ENSG00000127616	EFNB3_ENSG00000108947	0.008088505	PANCAN	
PIK3CA_5290_ENSG00000121879	FASTK_ENSG00000164896	0.009713248	PANCAN	
CDKN2A_1029_ENSG00000147889	FGFR3_ENSG00000068078	0.006838743	PANCAN	
KRAS_3845_ENSG00000133703	AKT3_ENSG00000117020	0.007224287	PANCAN	
SMARCA4_6597_ENSG00000127616	CAMK1_ENSG00000134072	0.00843271	PANCAN	
STK11_6794_ENSG00000118046	LMTK3_ENSG00000142235	0.00713808	PANCAN	
NOTCH2_4853_ENSG00000134250	MAP3K6_ENSG00000142733	0.009728333	PANCAN	
GNAS_2778_ENSG00000087460	FUK_ENSG00000157353	0.009073137	PANCAN	
KRAS_3845_ENSG00000133703	EPHA6_ENSG00000080224	0.008207721	PANCAN	
SMAD4_4089_ENSG00000141646	AURKA_ENSG00000087586	0.008567006	PANCAN	
CCND1_595_ENSG00000110092	CDKN2C_ENSG00000123080	0.009104414	PANCAN	
STK11_6794_ENSG00000118046	CSNK1G1_ENSG00000169118	0.00879203	PANCAN	
RB1_5925_ENSG00000139687	ULK2_ENSG00000083290	0.009683971	PANCAN	
SMARCA4_6597_ENSG00000127616	TWF2_ENSG00000247596	0.010578058	PANCAN	
ERBB2_2064_ENSG00000141736	GCK_ENSG00000106633	0.009752428	PANCAN	
PIK3CA_5290_ENSG00000121879	EPHA4_ENSG00000116106	0.012926008	PANCAN	
PTEN_5728_ENSG00000171862	DGKQ_ENSG00000145214	0.009911478	PANCAN	
SMAD4_4089_ENSG00000141646	DCK_ENSG00000156136	0.009609265	PANCAN	
PTEN_5728_ENSG00000171862	CDK5R2_ENSG00000171450	0.010109272	PANCAN	
CCND1_595_ENSG00000110092	MAP3K6_ENSG00000142733	0.010698322	PANCAN	
CDKN2A_1029_ENSG00000147889	RELA_ENSG00000173039	0.010147637	PANCAN	
SMARCA4_6597_ENSG00000127616	PRKD1_ENSG00000184304	0.012180624	PANCAN	
KRAS_3845_ENSG00000133703	EPHA3_ENSG00000044524	0.01059477	PANCAN	
ERBB2_2064_ENSG00000141736	FASTK_ENSG00000164896	0.011065489	PANCAN	
MYC_4609_ENSG00000136997	PRKCZ_ENSG00000067606	0.010719529	PANCAN	
CCND1_595_ENSG00000110092	PASK_ENSG00000115687	0.011150748	PANCAN	
SMARCA4_6597_ENSG00000127616	HIPK2_ENSG00000064393	0.012676868	PANCAN	
CDKN2A_1029_ENSG00000147889	MERTK_ENSG00000153208	0.010956279	PANCAN	
STK11_6794_ENSG00000118046	HIPK2_ENSG00000064393	0.0111362	PANCAN	
NOTCH2_4853_ENSG00000134250	FGFR2_ENSG00000066468	0.016340192	PANCAN	
KRAS_3845_ENSG00000133703	ACVR2A_ENSG00000121989	0.01270658	PANCAN	
PTEN_5728_ENSG00000171862	MAP2K7_ENSG00000076984	0.013239639	PANCAN	
SMARCA4_6597_ENSG00000127616	EPHA10_ENSG00000183317	0.015126692	PANCAN	
SMARCA4_6597_ENSG00000127616	PIK3R4_ENSG00000196455	0.015128387	PANCAN	
KRAS_3845_ENSG00000133703	EXOSC10_ENSG00000171824	0.013607834	PANCAN	
CDKN2A_1029_ENSG00000147889	CKMT1B_ENSG00000237289	0.013556715	PANCAN	
ARID1A_8289_ENSG00000117713	PRKAB1_ENSG00000111725	0.015831881	PANCAN	
PIK3CA_5290_ENSG00000121879	PIP5K1A_ENSG00000143398	0.019162535	PANCAN	
NRAS_4893_ENSG00000213281	GNE_ENSG00000159921	0.015186213	PANCAN	
ERBB2_2064_ENSG00000141736	SPHK2_ENSG00000063176	0.015189389	PANCAN	
PIK3CA_5290_ENSG00000121879	ERBB3_ENSG00000065361	0.020708443	PANCAN	
NF1_4763_ENSG00000196712	NEK3_ENSG00000136098	0.020507952	PANCAN	
ARID1A_8289_ENSG00000117713	DCK_ENSG00000156136	0.017233015	PANCAN	
NRAS_4893_ENSG00000213281	IRAK3_ENSG00000090376	0.016298532	PANCAN	
ERBB2_2064_ENSG00000141736	TSSK6_ENSG00000178093	0.01683208	PANCAN	
ARID1A_8289_ENSG00000117713	PAK1_ENSG00000149269	0.018423195	PANCAN	
ERBB2_2064_ENSG00000141736	MAP3K2_ENSG00000169967	0.017940927	PANCAN	
SMAD4_4089_ENSG00000141646	CDK11A_ENSG00000008128	0.017370241	PANCAN	
ERBB2_2064_ENSG00000141736	NRBP1_ENSG00000115216	0.019702203	PANCAN	
CDKN2A_1029_ENSG00000147889	SCYL3_ENSG00000000457	0.018341872	PANCAN	
CDKN2A_1029_ENSG00000147889	BCKDK_ENSG00000103507	0.019081303	PANCAN	
KRAS_3845_ENSG00000133703	CDK12_ENSG00000167258_CRK7	0.018618611	PANCAN	
CCND1_595_ENSG00000110092	PDGFRB_ENSG00000113721	0.019547252	PANCAN	
CDKN2A_1029_ENSG00000147889	CDKN2D_ENSG00000129355	0.019454259	PANCAN	
NRAS_4893_ENSG00000213281	EPHA3_ENSG00000044524	0.019684311	PANCAN	
CDKN2A_1029_ENSG00000147889	MAP4K1_ENSG00000104814	0.019684753	PANCAN	
ERBB2_2064_ENSG00000141736	MAP3K4_ENSG00000085511	0.022318973	PANCAN	
KRAS_3845_ENSG00000133703	DGUOK_ENSG00000114956	0.02170512	PANCAN	
SMARCA4_6597_ENSG00000127616	CAMK2N1_ENSG00000162545	0.026415244	PANCAN	
NOTCH2_4853_ENSG00000134250	PRKACA_ENSG00000072062	0.027910659	PANCAN	
CDKN2A_1029_ENSG00000147889	CDK6_ENSG00000105810	0.024222669	PANCAN	
KRAS_3845_ENSG00000133703	DGKQ_ENSG00000145214	0.024472077	PANCAN	
PTEN_5728_ENSG00000171862	PNCK_ENSG00000130822	0.026703278	PANCAN	
KRAS_3845_ENSG00000133703	HK2_ENSG00000159399	0.025957868	PANCAN	
CDKN2A_1029_ENSG00000147889	CAMK2G_ENSG00000148660	0.027080181	PANCAN	
SMAD4_4089_ENSG00000141646	NADK_ENSG00000008130	0.028863016	PANCAN	
KRAS_3845_ENSG00000133703	MAP3K2_ENSG00000169967	0.029984345	PANCAN	
PIK3CA_5290_ENSG00000121879	MAST1_ENSG00000105613	0.036429464	PANCAN	
FBXW7_55294_ENSG00000109670	CHEK1_ENSG00000149554	0.031930533	PANCAN	
CCND1_595_ENSG00000110092	PAK4_ENSG00000130669	0.031961772	PANCAN	
SMARCA4_6597_ENSG00000127616	PSKH2_ENSG00000147613	0.037627021	PANCAN	
EGFR_1956_ENSG00000146648	PKLR_ENSG00000262785	0.039088572	PANCAN	
NOTCH2_4853_ENSG00000134250	DYRK1A_ENSG00000157540	0.038860193	PANCAN	
CCND1_595_ENSG00000110092	PDK3_ENSG00000067992	0.034560849	PANCAN	
CDKN2A_1029_ENSG00000147889	CDKN1C_ENSG00000129757	0.034078174	PANCAN	
EGFR_1956_ENSG00000146648	CLK3_ENSG00000179335	0.04154179	PANCAN	
STK11_6794_ENSG00000118046	WNK3_ENSG00000196632	0.03459912	PANCAN	
CCND1_595_ENSG00000110092	PKM_ENSG00000067225	0.035911959	PANCAN	
CCND1_595_ENSG00000110092	PAK3_ENSG00000077264	0.037969727	PANCAN	
CDKN2A_1029_ENSG00000147889	RIOK1_ENSG00000124784	0.035195242	PANCAN	
TP53_7157_ENSG00000141510	PAK4_ENSG00000130669	0.065160866	PANCAN	
CCND1_595_ENSG00000110092	STK17A_ENSG00000164543	0.037333657	PANCAN	
PIK3CA_5290_ENSG00000121879	PRPS1_ENSG00000147224	0.044854733	PANCAN	
PTEN_5728_ENSG00000171862	CDK1_ENSG00000170312	0.037800137	PANCAN	
KRAS_3845_ENSG00000133703	GSG2_ENSG00000177602	0.037607991	PANCAN	
CCND1_595_ENSG00000110092	PIK3CD_ENSG00000171608	0.040104852	PANCAN	
STK11_6794_ENSG00000118046	AK7_ENSG00000140057	0.039191135	PANCAN	
STK11_6794_ENSG00000118046	STK19_ENSG00000206342	0.040267515	PANCAN	
SMAD4_4089_ENSG00000141646	ULK3_ENSG00000140474	0.041198394	PANCAN	
KRAS_3845_ENSG00000133703	STK3_ENSG00000104375	0.041946286	PANCAN	
KRAS_3845_ENSG00000133703	KDR_ENSG00000128052	0.043094713	PANCAN	
CDKN2A_1029_ENSG00000147889	ALDH18A1_ENSG00000059573	0.044262625	PANCAN	
CCND1_595_ENSG00000110092	PGK1_ENSG00000102144	0.046653036	PANCAN	
PIK3CA_5290_ENSG00000121879	PKM_ENSG00000067225	0.05541473	PANCAN	
CCND1_595_ENSG00000110092	LYN_ENSG00000254087	0.047315287	PANCAN	
KRAS_3845_ENSG00000133703	MAPKAPK2_ENSG00000162889	0.04668711	PANCAN	
ERBB2_2064_ENSG00000141736	MAP3K14_ENSG00000006062	0.049877266	PANCAN	
EGFR_1956_ENSG00000146648	AMHR2_ENSG00000135409	0.0577541	PANCAN	
KRAS_3845_ENSG00000133703	PINK1_ENSG00000158828	0.050518912	PANCAN	
CDKN2A_1029_ENSG00000147889	AAK1_ENSG00000115977	0.050443248	PANCAN	
SMAD4_4089_ENSG00000141646	TRIB3_ENSG00000101255	0.051059452	PANCAN	
CDKN2A_1029_ENSG00000147889	SRP72_ENSG00000174780	0.051453538	PANCAN	
GNAS_2778_ENSG00000087460	C8orf44.SGK3_ENSG00000270024	0.055518686	PANCAN	
STK11_6794_ENSG00000118046	MAP4K5_ENSG00000012983	0.052528109	PANCAN	
NRAS_4893_ENSG00000213281	TP53RK_ENSG00000172315	0.056226126	PANCAN	
CDKN2A_1029_ENSG00000147889	PIP5K1A_ENSG00000143398	0.056204646	PANCAN	
STK11_6794_ENSG00000118046	PRKAG3_ENSG00000115592	0.066733555	PANCAN	
NRAS_4893_ENSG00000213281	SBK1_ENSG00000188322	0.070387439	PANCAN	
FBXW7_55294_ENSG00000109670	PIK3CG_ENSG00000105851	0.074594748	PANCAN	
CDKN2A_1029_ENSG00000147889	ITPKA_ENSG00000137825	0.086017503	PANCAN	
PIK3CA_5290_ENSG00000121879	EPHB2_ENSG00000133216	0.097068499	PANCAN	
CDKN2A_1029_ENSG00000147889	SMG1_ENSG00000157106	0.097506874	PANCAN	
NOTCH2_4853_ENSG00000134250	ROR2_ENSG00000169071	0.121860451	PANCAN	
CCND1_595_ENSG00000110092	FGFR2_ENSG00000066468	0.121643037	PANCAN	
PIK3CA_5290_ENSG00000121879	GAK_ENSG00000178950	0.142560484	PANCAN	
KRAS_3845_ENSG00000133703	TRPM7_ENSG00000092439	0.14088372	PANCAN	
NRAS_4893_ENSG00000213281	HIPK3_ENSG00000110422	0.14947482	PANCAN	
PTEN_5728_ENSG00000171862	SMG1_ENSG00000157106	0.202293691	PANCAN	
